Date,Capture Site,Capture UTM-Y,Capture UTM-X,Length (mm),Weight (g),Dorsal Gap (mm),Girth (mm),Genetic,PIT Tagged (Y/N),Status,,PIT Tag #,Radio Tag #,Surgery Time (MM:SS),Injuries,Recovery Tank Temp,Release Site,Release UTM-X,Release UTM-Y,Release Time,Release Temp,Tank Water Temp,Tagger,Genetic,,Lamprey ID,,,
7/2/2023,Shears,5013394.42,653819.54,630,,15,30,4101,Y,Alive,,3D6.1D59577612,440264,,none,,WS,618811.36,4984291.2,2AM,,,AK,4101,CI-1,LI-1,M-1,,
7/2/2023,Shears,5013394.42,653819.54,610,,14,27,4102,Y,Alive,,3D6.1D5957762D,440263,,none,,WS,618811.36,4984291.2,2AM,,,AK,4102,CI-2,LI-2,M2,,
7/2/2023,Shears,5013394.42,653819.54,600,,16,32,4103,Y,Alive,,3D6.1D5957764A,440262,,none,,WS,618811.36,4984291.2,2AM,,,AK,4103,CI-3,LI-3,M-3,,
7/3/2023,Shears,5013394.42,653819.54,610,,15,30,4104,Y,Alive,,3D6.1D5957762F,440261,15:00,none,,BEAV,611558.12,4980505.68,3AM,13,12,AK,4104,CI-4,LI-4,M-4,,
7/3/2023,Shears,5013394.42,653819.54,560,,14,28,4105,Y,Alive,,3D6.1D59577648,440625,8:28,none,,BEAV,611558.12,4980505.68,3AM,13,12,AK,4105,CI-5,LI-5,M-5,,
7/3/2023,Shears,5013394.42,653819.54,590,,14,31,4106,Y,Alive,,3D6.1D59577607,440266,7:07,none,,BEAV,611558.12,4980505.68,3AM,13,12,AK,4106,CI-6,LI-6,M-6,,
8/7/2023,Shears,5013394.42,653819.54,640,440,15,34,4107,Y,Alive,,3D6.1D5957761B,440267,11:12,none,15,WS,618811.36,4984291.2,10AM,10,,AK,4107,CI-7,LI-7,M-7,,
8/7/2023,Shears,5013394.42,653819.54,510,250,13,33,4108,Y,Alive,,3D6.1D5957763E,440268,9:30,none,15,WS,618811.36,4984291.2,10AM,10,,AK,4108,CI-8,LI-8,M-8,,
8/7/2023,Shears,5013394.42,653819.54,660,511,15,35,4109,Y,Alive,,3D6.1D59577615,440269,13:41,none,,WS,618811.36,4984291.2,10AM,10,,AK,4109,CI-9,LI-9,M-9,,
8/7/2023,Shears,5013394.42,653819.54,650,479,14,36,4110,Y,Alive,,3D6.1D59577639,440270,11:22,none,,WS,618811.36,4984291.2,10AM,10,,AK,4110,CI-10,LI-10,M-10,,
8/7/2023,Shears,5013394.42,653819.54,650,700,16,34,4111,Y,Alive,,3D6.1D59577608,440271,9:32,none,,WS,618811.36,4984291.2,10AM,10,,AK,4111,CI-11,LI-11,M-11,,
